Title,Meaning,Context,Notes
B23,Birth to Three,ct,
BEST,Bureau of Enterprise Systems and Technology,ct,
C4K,Care 4 Kids,ct,
CDCC,Child Day Care Contracts,ct,
DSS,Department of Social Services,ct,
ECE,Early Care and Education,ct,
ECIS,Early Childhood Information System,ct,
EI,Early Intervention,ct,
HV,Home Visiting,ct,
IDEA,Individuals with Disabilities Education Act,ct,
OEC,Office of Early Childhood,ct,
PCG,Public Consulting Group,ct,
PDG,Preschool Development Grants,ct,
SPIDER,Service Provider Individual Data Entry Resources,ct,
SR,School Readiness,ct,
CPO,Chief Performance Office,ct,
MCVIEH, Maternal Infant and Early Childhood Home Visiting Program (mic-VEE), ct
